,RUNDATE,FY,FM,DOCID,CHKSUBTOT,VCODE,VENDOR,ZIP5,FTYP,FUNDTYPE,DPT,DEPARTMENT,ACTV,ACTIVITY,OGRP,OBJECTGROUP,OBJ,OBJECT,COMM,COMMODITYDSCR,INVOICEDATE,INVOICENUMBER
75,2023-10-02,2024,1,EFT-BMS-EY240000015,474477.5,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
76,2023-10-02,2024,1,EFT-BMS-EY240000015,534503.06,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
83,2023-10-02,2024,1,EFT-BMS-EY240000022,2371784.25,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
277,2023-10-02,2024,1,EFT-BMS-EY240000198,364548.13,266895,Pencco Inc,77473,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2200,Chemical Medical Surgical,89079.0,WATER AND WASTEWATER DISINFECTING OZONATORS,,
584,2023-10-03,2024,1,AD-BMS-AY240000174,537448.82,VS0000063267,"Rushco Energy Specialists, Inc",76053,OTGO,Other GO CIP - Non-Debt,BSD,Building Services,EB01,"City Facility Operations, Maintenance And Repair",RC,Capital Outlay,4720,Mach Tools Implem  Major,91450.0,"HEATING, VENTILATING AND AIR CONDITIONING (HVAC)",,
597,2023-10-03,2024,1,EFT-BMS-EY240000364,642694.81,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
798,2023-10-03,2024,1,EFT-BMS-EY240000549,1261912.85,517440,Axon Enterprise Inc.,85255,GNFD,General Fund,DPD,Dallas Police Dept,DP30,Police Technology And Technical Support,QV,Contractual & Other Services,3437,Continual Software Lic Fee,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
802,2023-10-03,2024,1,EFT-BMS-EY240000553,838671.67,970352,Sabine River Authority Of Tx,75472,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
1164,2023-10-04,2024,1,EFT-BMS-EY240000835,2487606.65,VS0000064407,"Archer Western Construction, Llc",75038,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4730,Inst Apparatus Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
1264,2023-10-04,2024,1,EFT-BMS-EY240000932,369093.9,144735,"Camino Construction, L.P. ^",75057,BP95,1995 General Obligation Bond Program,HOU,Housing/Community Services,NERI,Neighborhood Revitalization Initiatives,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
1284,2023-10-04,2024,1,EFT-BMS-EY240000947,459760.06,345379,Omega Contracting Llc,75212,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,QV,Contractual & Other Services,3221,Water Relocation,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
1355,2023-10-04,2024,1,EFT-BMS-EY240001003,950443.32,VC28899,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
1357,2023-10-04,2024,1,EFT-BMS-EY240001005,390419.0,VC29235,"Chastang Enterprises - Houston, Llc",77226,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,FLTR,San- Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
1395,2023-10-04,2024,1,EFT-BMS-EY240001034,1663220.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,OTDB,Other GO CIP  - Debt,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4742,Trucks,7003.0,AMBULANCES AND RESCUE VEHICLES,,
1792,2023-10-05,2024,1,EFT-BMS-EY240001335,380000.0,VS0000017816,"Ark Contracting Services, Llc",76060,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
1797,2023-10-05,2024,1,EFT-BMS-EY240001338,1437596.1,082798,Casco Industries Inc,75050,GNFD,General Fund,INV,Inventory Purchase,INV1,Inventory,QM,Supplies & Materials,2998,Inventory Purchase,34574.0,PERSONAL PROTECTIVE EQUIPMENT FOR BLOODBORNE PATHOGENS,,
1901,2023-10-05,2024,1,EFT-BMS-EY240001426,2527163.07,VS0000009713,Carahsoft Technology Corp,20190,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS19,Internal Computer Support,QV,Contractual & Other Services,3437,Continual Software Lic Fee,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
1908,2023-10-05,2024,1,EFT-BMS-EY240001429,725907.76,VS0000024410,Standard Insurance Company,97208,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,3552,"Pymts To Voluntary Benefits, dental, Vision Service Plan",,NONE,,
2066,2023-10-06,2024,1,EFT-BMS-EY240001525,548720.0,343436,Archer-Western Contractors,76006,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
2151,2023-10-06,2024,1,EFT-BMS-EY240001608,505624.3,VS0000006690,Delta Dental Insurance Company,94120,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,355C,Voluntary Pmts Employee Dental,,NONE,,
2224,2023-10-06,2024,1,EFT-BMS-EY240001676,368138.77,VS90299,Southland Mole Jv,76262,BP12,2012 General Obligation Bond Program,TWM,Trinity Watershed Management,SDRS,Storm Drainage Relief System,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
2319,2023-10-06,2024,1,EFT-BMS-EY240001750,830315.13,VC28897,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
2430,2023-10-10,2024,1,AD-BMS-AY240000595,547299.25,268653,At&T Corp,60197,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS05,Internal Voice And Data Communication Network,QV,Contractual & Other Services,3053,Data Circuit Billing,91577.0,"TELEPHONE SERVICES, LONG DISTANCE AND LOCAL (INCLUDING TELEX",,
2431,2023-10-10,2024,1,AD-BMS-AY240000595,549043.17,268653,At&T Corp,60197,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS05,Internal Voice And Data Communication Network,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
2479,2023-10-10,2024,1,EFT-BMS-EY240001791,394133.25,004204,"Texas Materials Group, Inc.",75062,GNFD,General Fund,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
2480,2023-10-10,2024,1,EFT-BMS-EY240001791,1507319.38,004204,"Texas Materials Group, Inc.",75062,OTBM,Other-Budget Office,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
2535,2023-10-10,2024,1,EFT-BMS-EY240001843,351066.8,204040,Kahn Air Conditioning & Heating Company,75207,WTRC,Water Capital Program,DWU,Water Utilities,SCOR,"Service Centers, Offices And Research Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
2828,2023-10-10,2024,1,EFT-BMS-EY240002102,447045.0,VC29235,"Chastang Enterprises - Houston, Llc",77226,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,FLTR,San- Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
2869,2023-10-10,2024,1,EFT-BMS-EY240002142,640586.46,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
3014,2023-10-10,2024,1,EFT-BMS-EY240002276,983895.0,068563,Trinity River Authority Of Tx,76004,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW04,Wastewater Treatment,QV,Contractual & Other Services,3083,Ww Treatment- Tra,,NONE,,
